pedido_id,cliente_id,data_pedido,valor_total,status_x,n_itens,transportadora_id,data_envio,data_entrega_prevista,data_entrega_real,atraso_dias,avaliacao_cliente,status_y,regiao_id,cidade,nome_x,tempo_medio_entrega_dias,taxa_atraso,nome_y,distancia_media_km,taxa_congestionamento,tempo_processamento,tempo_entrega_estimado,mes_pedido,dia_semana_pedido,fim_de_semana,atrasada,eficiencia_entrega,valor_total_scaled,tempo_processamento_scaled,tempo_entrega_estimado_scaled,distancia_media_km_scaled,taxa_congestionamento_scaled,metodo_pagamento_Cartão de Crédito,metodo_pagamento_Pix,metodo_pagamento_Transferência,estado_AL,estado_AM,estado_AP,estado_BA,estado_CE,estado_DF,estado_ES,estado_GO,estado_MA,estado_MG,estado_MS,estado_MT,estado_PA,estado_PB,estado_PE,estado_PI,estado_PR,estado_RJ,estado_RN,estado_RO,estado_RR,estado_RS,estado_SC,estado_SE,estado_SP,estado_TO
1,166,2023-11-18,2622.95,Entregue,3,8,2023-11-20,2023-11-26,2023-11-26,0,4,Entregue,3,Novaes dos Dourados,Transportadora_H,4,0.11,Região_C,1336,1.7,2,6,11,5,1,0,1.0,-0.2151196732117101,-0.0220287382372025,-1.052837869047833,0.4165631728352765,-0.14250757711835713,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,181,2023-09-17,1747.32,Entregue,1,8,2023-09-19,2023-09-25,2023-09-28,3,2,Entregue,3,Pinto,Transportadora_H,4,0.11,Região_C,1336,1.7,2,6,9,6,1,1,0.6666666666666666,-0.7300899323039586,-0.0220287382372025,-1.052837869047833,0.4165631728352765,-0.14250757711835713,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,47,2023-11-11,5818.0,Entregue,5,1,2023-11-14,2023-11-29,2023-11-29,0,5,Entregue,3,Barbosa,Transportadora_A,9,0.26,Região_C,1336,1.7,3,15,11,5,1,0,1.0,1.663933952535111,1.201790052718506,0.9705532950415322,0.4165631728352765,-0.14250757711835713,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4,165,2023-11-06,1123.39,Entregue,4,6,2023-11-07,2023-11-24,2023-11-24,0,3,Entregue,3,Lopes,Transportadora_F,10,0.21,Região_C,1336,1.7,1,17,11,0,0,0,1.0,-1.0970318983802998,-1.245847529192911,1.4201957759502801,0.4165631728352765,-0.14250757711835713,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
5,21,2023-05-07,4493.76,Entregue,4,6,2023-05-09,2023-05-26,2023-05-26,0,4,Entregue,3,Pereira de Goiás,Transportadora_F,10,0.21,Região_C,1336,1.7,2,17,5,6,1,0,1.0,0.8851298733003666,-0.0220287382372025,1.4201957759502801,0.4165631728352765,-0.14250757711835713,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6,174,2023-12-14,4537.61,Entregue,5,7,2023-12-17,2023-12-26,2023-12-26,0,5,Entregue,5,Guerra,Transportadora_G,5,0.28,Região_E,1444,1.96,3,9,12,3,0,0,1.0,0.9109186720637654,1.201790052718506,-0.3783741476847113,0.7172905970746474,0.8548536624717598,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,171,2023-02-11,4665.39,Entregue,5,2,2023-02-14,2023-02-19,2023-02-19,0,4,Entregue,1,Ribeiro de Barbosa,Transportadora_B,3,0.16,Região_A,454,1.9,3,5,2,5,1,0,1.0,0.9860678785857071,1.201790052718506,-1.277659109502207,-2.039377458452919,0.6246933764125018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
8,66,2023-12-10,4746.96,Entregue,5,5,2023-12-12,2023-12-21,2023-12-21,0,3,Entregue,4,Moura,Transportadora_E,5,0.13,Região_D,1204,1.87,2,9,12,6,1,0,1.0,1.0340403373116012,-0.0220287382372025,-0.3783741476847113,0.0490074320982676,0.5096132333828737,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,249,2023-04-09,3551.91,Entregue,2,5,2023-04-10,2023-04-19,2023-04-19,0,3,Entregue,1,Ramos,Transportadora_E,5,0.13,Região_A,454,1.9,1,9,4,6,1,0,1.0,0.33121470533440556,-1.245847529192911,-0.3783741476847113,-2.039377458452919,0.6246933764125018,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10,173,2023-11-13,2954.4,Entregue,2,3,2023-11-14,2023-11-29,2023-11-29,0,5,Entregue,1,Barros dos Dourados,Transportadora_C,8,0.2,Região_A,454,1.9,1,15,11,0,0,0,1.0,-0.02018928894423877,-1.245847529192911,0.9705532950415322,-2.039377458452919,0.6246933764125018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
